Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CUBE,CubeSmart Common Shares,$50.28,-0.27,-0.534%,11001803152.00,United States,,1352212,Consumer Services,Real Estate Investment Trusts
CVNA,Carvana Co. Class A Common Stock,$146.53,-11.37,-7.201%,12541101940.00,United States,2017,5527904,Consumer Services,Other Specialty Stores
CZR,Caesars Entertainment Inc. Common Stock,$77.29,1.33,1.751%,16522596479.00,United States,,3229204,Consumer Services,Hotels/Resorts
DG,Dollar General Corporation Common Stock,$212.01,-4.57,-2.11%,49124095913.00,United States,2009,2241053,Consumer Services,Department/Specialty Retail Stores
DIS,Walt Disney Company (The) Common Stock,$136.51,-0.95,-0.691%,248511991806.00,United States,,14416132,Consumer Services,Movies/Entertainment
DISCA,Discovery Inc. Series A Common Stock,$26.86,-0.02,-0.074%,13589651301.00,United States,,6793735,Consumer Services,Television Services
DISCB,Discovery Inc. Series B Common Stock,$32.98,3.36,11.344%,16686027546.00,United States,,14374,Consumer Services,Television Services
DISCK,Discovery Inc. Series C Common Stock,$26.22,-0.03,-0.114%,13263803636.00,United States,,4099955,Consumer Services,Television Services
DISH,DISH Network Corporation Class A Common Stock,$31.10,0.27,0.876%,16445730227.00,United States,1995,3197139,Consumer Services,Television Services
DKS,Dick's Sporting Goods Inc Common Stock,$117.91,1.36,1.167%,10211705088.00,United States,2002,3418468,Consumer Services,Other Specialty Stores
DLR,Digital Realty Trust Inc. Common Stock,$152.67,-1.24,-0.806%,43325830908.00,United States,2004,1478492,Consumer Services,Real Estate Investment Trusts
DLTR,Dollar Tree Inc. Common Stock,$131.35,-0.80,-0.605%,29547978350.00,United States,1995,2418044,Consumer Services,Department/Specialty Retail Stores
DRE,Duke Realty Corporation Common Stock,$56.95,-0.08,-0.14%,21689424585.00,United States,,1727680,Consumer Services,Real Estate Investment Trusts
DRI,Darden Restaurants Inc. Common Stock,$137.50,0.91,0.666%,17562005588.00,United States,,1341134,Consumer Services,Restaurants
EBAY,eBay Inc. Common Stock,$58.18,-1.48,-2.481%,36420899979.00,United States,1998,7119500,Consumer Services,Catalog/Specialty Distribution
ELS,Equity Lifestyle Properties Inc. Common Stock,$76.38,0.00,0.00%,14040638740.00,United States,,1234740,Consumer Services,Real Estate Investment Trusts
EQIX,Equinix Inc. Common Stock REIT,$719.67,-11.17,-1.528%,64799950404.00,United States,2000,477773,Consumer Services,Real Estate Investment Trusts
EQR,Equity Residential Common Shares of Beneficial Interest,$87.62,-0.72,-0.815%,32858921372.00,United States,,3122153,Consumer Services,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,$330.54,-2.36,-0.709%,21514131659.00,United States,1994,373906,Consumer Services,Real Estate Investment Trusts
ETSY,Etsy Inc. Common Stock,$145.13,-8.93,-5.796%,18399689522.00,United States,2015,3452534,Consumer Services,Catalog/Specialty Distribution
EXR,Extra Space Storage Inc Common Stock,$195.47,0.47,0.241%,26171830928.00,United States,2004,1344443,Consumer Services,Real Estate Investment Trusts
FOX,Fox Corporation Class B Common Stock,$35.88,0.02,0.056%,20436750524.00,United States,,845783,Consumer Services,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$39.16,0.07,0.179%,22304993047.00,United States,,4508452,Consumer Services,Broadcasting
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$52.37,-1.11,-2.076%,12102887310.00,United States,,315971,Consumer Services,Broadcasting
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$56.94,-1.38,-2.366%,13159030044.00,United States,,1279947,Consumer Services,Broadcasting
GIS,General Mills Inc. Common Stock,$68.34,-0.21,-0.306%,41223145878.00,United States,,3968197,Consumer Services,Food Chains
GLPI,Gaming and Leisure Properties Inc. Common Stock,$43.25,0.10,0.232%,10641710421.00,United States,,1507427,Consumer Services,Real Estate Investment Trusts
HD,Home Depot Inc. (The) Common Stock,$358.98,-4.83,-1.328%,374860979759.00,United States,,5448636,Consumer Services,RETAIL: Building Materials
HST,Host Hotels & Resorts Inc. Common Stock,$17.04,0.04,0.235%,12167161819.00,United States,,7359996,Consumer Services,Real Estate Investment Trusts
IAC,IAC/InterActiveCorp Common Stock,$127.94,-0.58,-0.451%,11459194304.00,United States,,1181395,Consumer Services,EDP Services
INVH,Invitation Homes Inc. Common Stock,$41.10,-0.59,-1.415%,24527192501.00,United States,2017,2887013,Consumer Services,Real Estate Investment Trusts
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,$44.02,-0.35,-0.789%,12745968902.00,United States,,2606099,Consumer Services,Real Estate Investment Trusts
KIM,Kimco Realty Corporation Common Stock,$24.23,0.46,1.935%,14936051845.00,United States,,7870453,Consumer Services,Real Estate Investment Trusts
KMX,CarMax Inc,$109.94,-1.98,-1.769%,17775084468.00,United States,,2016063,Consumer Services,Other Specialty Stores
KR,Kroger Company (The) Common Stock,$45.08,-2.64,-5.532%,33145320825.00,United States,,9906709,Consumer Services,Food Chains
LAMR,Lamar Advertising Company Class A Common Stock,$108.34,-0.83,-0.76%,10968285263.00,United States,1996,493242,Consumer Services,Real Estate Investment Trusts
