Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TTWO,Take-Two Interactive Software Inc. Common Stock,$158.39,-6.60,-4.00%,18280697791.00,United States,1997,1448848,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$173.96,-4.38,-2.456%,160656591136.00,United States,,7620424,Technology,Semiconductors
TYL,Tyler Technologies Inc. Common Stock,$446.14,-20.68,-4.43%,18281179420.00,United States,,247290,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,$104.07,-6.85,-6.176%,30413483509.00,United States,2020,4700471,Technology,Retail: Computer Software & Peripheral Equipment
UI,Ubiquiti Inc. Common Stock,$276.66,-10.84,-3.77%,17272149117.00,United States,,136933,Technology,Radio And Television Broadcasting And Communications Equipment
URI,United Rentals Inc. Common Stock,$308.40,-3.79,-1.214%,22326443754.00,United States,1997,1167379,Technology,Diversified Commercial Services
VMW,Vmware Inc. Common stock Class A,$122.65,-2.54,-2.029%,51557835689.00,United States,2007,2370385,Technology,Computer Software: Prepackaged Software
VRSN,VeriSign Inc. Common Stock,$212.75,-7.35,-3.339%,23631937259.00,United States,1998,827737,Technology,EDP Services
WDAY,Workday Inc. Class A Common Stock,$236.11,-11.52,-4.652%,59027500000.00,United States,,2586249,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$55.09,-1.93,-3.385%,17167306718.00,United States,,5114173,Technology,Electronic Components
WOLF,Wolfspeed Inc. Common Stock,$88.94,-3.99,-4.294%,10336355100.00,United States,,1661172,Technology,Semiconductors
XLNX,Xilinx Inc. Common Stock,$173.16,-12.35,-6.657%,42922972661.00,United States,1990,3064998,Technology,Semiconductors
XM,Qualtrics International Inc. Class A Common Stock,$24.55,-1.41,-5.431%,14005280661.00,United States,2021,7166483,Technology,Computer Software: Prepackaged Software
ZBRA,Zebra Technologies Corporation Class A Common Stock,$474.00,-16.56,-3.376%,25331266734.00,United States,1991,537906,Technology,Computer peripheral equipment
ZI,ZoomInfo Technologies Inc Class A Common Stock,$47.37,-2.11,-4.264%,19100379058.00,United States,2020,5304119,Technology,Computer Software: Prepackaged Software
ZM,Zoom Video Communications Inc. Class A Common Stock,$145.89,-7.06,-4.616%,43474427526.00,United States,2019,5084327,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,$228.88,-14.32,-5.888%,32061894690.00,United States,2018,2868179,Technology,EDP Services
